Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000256016,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,3906,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,2,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-2.040e-01,-44,-46,-38,-40,-2.88,-2.96,-2,-2.4
-2.037e-01,-34,-22,-30,-20,-2.72,-2.56,-2,-1.2
-2.035e-01,-24,-28,-20,-24,-2.64,-2.72,-2,-2.4
-2.032e-01,-16,-6,-14,-6,-2.56,-2.24,-2,-1.2
-2.030e-01,-10,-12,-6,-10,-2.32,-2.48,-1.6,-2
-2.027e-01,4.47035e-08,10,4.47035e-08,8,-2.16,-1.92,-1.6,-0.8
-2.025e-01,6,2,8,4,-1.92,-2.08,-1.6,-2
-2.022e-01,14,24,12,22,-1.76,-1.52,-1.2,-0.4
-2.020e-01,22,18,20,18,-1.52,-1.68,-1.6,-1.6
-2.017e-01,30,40,28,36,-1.36,-1.04,-1.2,-0.4
-2.014e-01,38,34,36,32,-1.04,-1.2,-0.8,-1.2
-2.012e-01,46,56,44,50,-0.8,-0.56,-0.8,1.78814e-08
-2.009e-01,56,50,48,46,-0.56,-0.72,-0.4,-0.8
-2.007e-01,62,70,56,64,-0.32,3.57628e-09,1.78814e-08,0.4
-2.004e-01,70,64,62,58,-0.08,-0.16,1.78814e-08,-0.4
-2.002e-01,76,82,68,74,0.24,0.48,1.78814e-08,0.8
-1.999e-01,80,76,74,70,0.48,0.32,0.4,1.78814e-08
-1.996e-01,84,92,78,82,0.72,0.96,0.4,1.2
-1.994e-01,90,86,82,78,0.96,0.8,0.4,1.78814e-08
-1.991e-01,92,100,84,90,1.2,1.44,0.8,1.6
-1.989e-01,96,92,88,84,1.36,1.2,0.8,0.4
-1.986e-01,98,106,90,94,1.6,1.84,1.2,2
-1.984e-01,102,100,94,90,1.84,1.68,1.2,0.8
-1.981e-01,106,110,94,98,2.08,2.32,1.2,2
-1.979e-01,106,100,96,90,2.24,2.08,1.6,0.8
-1.976e-01,104,110,96,98,2.4,2.56,1.6,2
-1.973e-01,104,96,92,86,2.56,2.4,1.6,1.2
-1.971e-01,102,106,90,96,2.64,2.8,1.6,2.4
-1.968e-01,98,90,88,80,2.8,2.64,1.6,1.2
-1.966e-01,96,102,86,90,2.88,3.04,2,2.4
-1.963e-01,92,82,84,74,2.96,2.8,2,1.6
-1.961e-01,88,96,78,84,3.04,3.12,2,2.8
-1.958e-01,84,74,74,66,3.12,2.88,2,1.6
-1.956e-01,82,88,72,78,3.12,3.2,2,2.8
-1.953e-01,76,64,66,56,3.2,2.96,2,1.6
-1.950e-01,72,80,62,70,3.2,3.28,2,2.8
