Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000192012,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,2,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-2.040e-01,-2,-6,-6,-8,-2.24,-2.4,-1.6,-2
-2.038e-01,4,12,4.47035e-08,6,-2.16,-1.92,-1.6,-0.8
-2.036e-01,6,4,4,2,-2,-2.16,-1.2,-2
-2.034e-01,12,24,8,16,-1.84,-1.68,-1.2,-0.4
-2.032e-01,20,16,14,12,-1.68,-1.84,-1.2,-1.6
-2.030e-01,26,34,18,26,-1.6,-1.36,-1.2,-0.4
-2.028e-01,34,30,26,22,-1.36,-1.52,-0.8,-1.2
-2.027e-01,36,48,30,38,-1.28,-0.96,-0.8,1.78814e-08
-2.025e-01,44,42,36,34,-1.04,-1.12,-0.4,-1.2
-2.023e-01,50,58,42,48,-0.8,-0.64,-0.8,0.4
-2.021e-01,56,52,46,44,-0.64,-0.72,-0.4,-0.8
-2.019e-01,62,70,50,58,-0.48,-0.24,-0.4,0.4
-2.017e-01,66,64,56,54,-0.24,-0.32,-0.4,-0.4
-2.015e-01,72,80,60,68,-0.08,0.16,1.78814e-08,0.8
-2.013e-01,76,72,66,62,0.08,3.57628e-09,1.78814e-08,-0.4
-2.011e-01,80,86,70,74,0.32,0.56,0.4,0.8
-2.009e-01,84,80,74,72,0.48,0.4,0.4,1.78814e-08
-2.007e-01,88,94,76,82,0.64,0.88,0.4,1.2
-2.005e-01,88,86,80,78,0.8,0.72,0.4,1.78814e-08
-2.004e-01,92,98,82,86,0.96,1.28,0.8,1.2
-2.002e-01,96,92,84,82,1.2,1.04,0.8,0.4
-2.000e-01,100,104,88,90,1.36,1.6,0.8,1.6
-1.998e-01,100,96,88,86,1.52,1.36,1.2,0.4
-1.996e-01,102,108,92,94,1.76,1.92,1.2,2
-1.994e-01,106,100,92,90,1.92,1.68,1.2,0.8
-1.992e-01,106,110,94,98,2,2.24,1.6,2
-1.990e-01,106,100,94,92,2.24,2,1.6,0.8
-1.988e-01,106,110,94,98,2.32,2.48,1.6,2
-1.986e-01,104,98,94,88,2.48,2.24,1.6,1.2
-1.984e-01,104,108,94,96,2.56,2.72,1.6,2
-1.982e-01,100,94,90,84,2.64,2.48,1.6,1.2
-1.980e-01,98,104,88,94,2.64,2.8,1.6,2.4
-1.979e-01,96,88,86,80,2.72,2.64,1.6,1.2
-1.977e-01,94,100,84,90,2.8,2.96,2,2.4
-1.975e-01,92,82,82,76,2.88,2.72,1.6,1.2
-1.973e-01,88,94,80,84,2.96,3.12,2,2.4
-1.971e-01,86,76,78,70,3.04,2.88,2,1.6
