Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.02,,,,,,,
Sample Interval,3.84025e-05,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5208,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,10,,20,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.000e-01,104,100,95,91,2,1.6,1.2,0.4
-9.996e-02,102,106,93,97,2,2.4,1.2,2.8
-9.992e-02,102,100,95,91,2,1.6,2,0.4
-9.988e-02,102,108,95,97,2,2.8,1.2,2
-9.985e-02,102,100,95,93,2,1.6,2,0.4
-9.981e-02,106,108,95,97,2.4,2.8,1.2,2.8
-9.977e-02,106,100,95,93,2,1.6,1.2,0.4
-9.973e-02,104,108,95,97,2,2.8,1.2,2.8
-9.969e-02,104,102,95,93,2.4,1.6,1.2,0.4
-9.965e-02,104,108,97,97,2,2.8,1.2,2.8
-9.962e-02,104,100,95,93,2,2,1.2,0.4
-9.958e-02,104,108,95,99,2.4,2.8,2,2.8
-9.954e-02,104,100,95,93,2,2,1.2,0.4
-9.950e-02,104,108,95,97,2.4,2.8,2,2.8
-9.946e-02,104,100,95,93,2.4,2,2,0.4
-9.942e-02,104,108,95,97,2.4,2.8,1.2,2.8
-9.939e-02,106,100,97,93,2.4,2,1.2,0.4
-9.935e-02,104,108,95,97,2.4,2.8,1.2,2.8
-9.931e-02,104,100,95,93,2.4,2,1.2,0.4
-9.927e-02,106,108,95,97,2.4,2.8,2,2.8
-9.923e-02,104,100,95,93,2.8,2,2,0.4
-9.919e-02,104,108,95,97,2.4,2.8,2,2.8
-9.916e-02,104,100,95,91,2.4,2,2,0.4
-9.912e-02,104,106,93,97,2.8,3.2,1.2,2.8
-9.908e-02,104,100,93,91,2.8,2,1.2,0.4
-9.904e-02,104,106,93,95,2.4,3.2,1.2,2.8
-9.900e-02,102,98,93,89,2.4,2,1.2,1.2
-9.896e-02,100,106,93,95,2.8,3.2,2,2.8
-9.892e-02,102,98,93,89,2.8,2.4,1.2,1.2
-9.889e-02,102,104,91,93,2.8,3.2,2,2.8
-9.885e-02,102,96,91,89,2.8,2.4,1.2,1.2
-9.881e-02,100,104,91,93,2.8,3.2,2,2.8
-9.877e-02,100,96,91,87,2.8,2.4,1.2,1.2
-9.873e-02,100,104,89,93,2.8,3.2,1.2,2.8
-9.869e-02,100,96,91,87,2.8,2.4,2,1.2
-9.866e-02,98,102,89,91,2.8,3.2,2,2.8
-9.862e-02,98,94,89,87,2.8,2.4,2,1.2
-9.858e-02,98,102,89,91,2.8,3.2,2,2.8
-9.854e-02,98,94,89,85,2.8,2.4,2,1.2
-9.850e-02,98,102,87,91,3.2,3.2,2,2.8
-9.846e-02,98,94,87,85,3.2,2.4,2,1.2
