Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000192012,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,20,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-2.040e-01,-4,-6,3,1,-7.15256e-08,-0.8,-1,-1.8
-2.038e-01,-2,2,9,15,-7.15256e-08,0.8,-0.6,-0.2
-2.036e-01,-2,-6,13,9,-7.15256e-08,-0.8,-0.6,-1.4
-2.034e-01,-4,2,17,25,0.8,1.6,-0.6,0.2
-2.032e-01,-2,-6,23,21,0.8,-7.15256e-08,-0.2,-1
-2.030e-01,-2,2,27,35,0.8,1.6,-0.2,0.6
-2.028e-01,-2,-6,33,31,0.8,-7.15256e-08,0.2,-0.6
-2.027e-01,-4,2,39,45,1.6,2.4,0.2,1
-2.025e-01,-2,-6,43,41,1.6,-7.15256e-08,0.6,-0.2
-2.023e-01,-4,2,47,55,1.6,2.4,0.6,1.4
-2.021e-01,-2,-6,53,51,1.6,0.8,0.6,0.6
-2.019e-01,-2,2,57,63,1.6,3.2,1.4,1.8
-2.017e-01,-2,-6,61,59,2.4,0.8,1.4,1
-2.015e-01,-2,2,65,71,2.4,3.2,1.8,2.2
-2.013e-01,-2,-6,69,67,2.4,1.6,1.8,1.4
-2.011e-01,-2,2,73,77,2.4,4,1.8,2.6
-2.009e-01,-2,-6,75,73,3.2,1.6,2.2,1.4
-2.007e-01,-4,2,77,81,3.2,4,2.2,2.6
-2.005e-01,-2,-6,79,77,3.2,1.6,2.2,1.8
-2.004e-01,-2,2,81,87,3.2,4.8,2.6,3
-2.002e-01,-4,-6,83,81,4,2.4,2.6,2.2
-2.000e-01,-2,2,85,89,3.2,4.8,2.6,3.4
-1.998e-01,-2,-6,87,85,4,2.4,2.6,2.6
-1.996e-01,-1.3411e-07,2,89,91,3.2,4.8,3,3.8
-1.994e-01,-2,-6,91,87,3.2,2.4,3,2.6
-1.992e-01,-2,2,89,91,4,4.8,3.4,3.8
-1.990e-01,-2,-6,89,83,3.2,2.4,3,2.6
-1.988e-01,-4,2,87,91,4,4.8,3,3.8
-1.986e-01,-4,-6,87,81,4,2.4,3.4,3
-1.984e-01,-2,2,85,89,4,4.8,3,3.8
-1.982e-01,-2,-6,83,77,4,2.4,3,3
-1.980e-01,-2,2,81,85,4,4.8,3.4,3.8
-1.979e-01,-2,-6,79,73,4,2.4,3.4,3
-1.977e-01,-2,2,77,81,4,4.8,3.4,3.8
-1.975e-01,-2,-6,75,67,4,2.4,3.4,2.6
-1.973e-01,-2,2,73,77,4,4.8,3.4,3.8
-1.971e-01,-4,-6,69,61,4,2.4,3.4,2.6
-1.969e-01,-2,2,67,71,4,4.8,3.4,3.8
