Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.04,,,,,,,
Sample Interval,7.68049e-05,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,20,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-8.6000e-02,-2,-6,-63,-65,-1.6,-3.2,-3,-3.4
-8.5923e-02,-2,2,-61,-57,-2.4,-0.8,-3,-2.6
-8.5846e-02,-4,-6,-59,-63,-2.4,-3.2,-3,-3.4
-8.5770e-02,-2,2,-59,-55,-2.4,-0.8,-3,-2.2
-8.5693e-02,-4,-6,-57,-59,-1.6,-3.2,-3,-3.4
-8.5616e-02,-2,-1.3411e-07,-55,-51,-1.6,-0.8,-3,-2.2
-8.5539e-02,-2,-6,-55,-55,-2.4,-3.2,-3,-3.4
-8.5462e-02,-2,-1.3411e-07,-53,-47,-1.6,-0.8,-2.6,-2.2
-8.5386e-02,-2,-8,-49,-51,-1.6,-3.2,-2.6,-3.4
-8.5309e-02,-2,2,-47,-43,-1.6,-0.8,-2.6,-2.2
-8.5232e-02,-4,-6,-45,-47,-1.6,-2.4,-2.6,-3
-8.5155e-02,-4,2,-41,-39,-1.6,-0.8,-2.6,-2.2
-8.5078e-02,-2,-6,-39,-41,-1.6,-2.4,-2.6,-3
-8.5002e-02,-2,2,-39,-33,-0.8,-0.8,-2.6,-1.8
-8.4925e-02,-2,-6,-35,-37,-0.8,-2.4,-2.6,-2.6
-8.4848e-02,-4,2,-33,-29,-1.6,-7.15256e-08,-2.2,-1.8
-8.4771e-02,-4,-6,-31,-33,-1.6,-2.4,-2.2,-2.6
-8.4694e-02,-2,2,-29,-25,-0.8,-7.15256e-08,-2.2,-1.8
-8.4618e-02,-2,-6,-27,-29,-0.8,-2.4,-1.8,-2.6
-8.4541e-02,-4,2,-25,-19,-0.8,-7.15256e-08,-2.2,-1.4
-8.4464e-02,-4,-6,-21,-23,-0.8,-2.4,-2.2,-2.6
-8.4387e-02,-4,2,-21,-15,-0.8,-7.15256e-08,-1.8,-1.4
-8.4310e-02,-4,-6,-17,-19,-0.8,-1.6,-1.8,-2.2
-8.4233e-02,-2,2,-17,-11,-0.8,-7.15256e-08,-1.4,-1.4
-8.4157e-02,-2,-6,-13,-15,-0.8,-1.6,-1.4,-2.2
-8.4080e-02,-4,2,-11,-7,-0.8,-7.15256e-08,-1.4,-1
-8.4003e-02,-4,-6,-9,-11,-0.8,-1.6,-1.4,-1.8
-8.3926e-02,-2,2,-7,-3,-1.6,0.8,-1.4,-1
-8.3849e-02,-4,-6,-5,-7,-0.8,-1.6,-1.4,-1.8
-8.3773e-02,-2,-1.3411e-07,-3,1,-7.15256e-08,0.8,-1.4,-1
